year_code,year,cd_area,area_name,A1101_総人口【人】,A7101_世帯数【世帯】,C610101_売上金額（民営）（農林漁業）【百万円】,C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】,C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】,C610106_売上金額（民営）（建設業）【百万円】,C610107_売上金額（民営）（製造業）【百万円】,C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】,C610109_売上金額（民営）（情報通信業）【百万円】,C610110_売上金額（民営）（運輸業、郵便業）【百万円】,C610111_売上金額（民営）（卸売業、小売業）【百万円】,C610114_売上金額（民営）（金融業、保険業）【百万円】,C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】,C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】,C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】,C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】,C610119_売上金額（民営）（教育、学習支援業）【百万円】,C610120_売上金額（民営）（医療、福祉）【百万円】,C610121_売上金額（民営）（複合サービス事業）【百万円】,C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】,D2201_財政力指数（市町村財政）【‐】,D2209_一般財源（市町村財政）【千円】,I5101_病院数【施設】
2020100000,2020年度,01452,北海道 鷹栖町,6567,2658,1787,40152,0,5236,3848,,,9227,14985,,422,1635,132,440,,3679,216,165,0.30,3174325,0
2020100000,2020年度,01453,北海道 東神楽町,10127,3840,1701,37294,0,3926,4153,,,1365,14309,87,3291,639,962,1505,817,2904,3095,198,0.39,3404333,1
2020100000,2020年度,01454,北海道 当麻町,6319,2773,1667,28725,0,3985,,,,892,12370,209,879,,334,134,41,1381,493,405,0.22,3260702,0
2020100000,2020年度,01455,北海道 比布町,3520,1570,1309,9809,0,1632,1108,,,431,3165,,175,1059,376,66,,1166,424,133,0.18,2339304,0
2020100000,2020年度,01456,北海道 愛別町,2605,1189,4071,10107,0,1823,2364,,,85,3478,,0,8,133,206,,613,440,841,0.16,2115651,0
2020100000,2020年度,01457,北海道 上川町,3500,1913,2492,13192,0,2418,1221,,,287,3183,,205,25,3333,81,86,561,316,828,0.17,3601367,0
2020100000,2020年度,01458,北海道 東川町,8314,3405,3273,33230,0,5386,,,421,52,9863,,355,125,2697,418,4,1419,118,340,0.25,5125398,0
2020100000,2020年度,01459,北海道 美瑛町,9668,4213,6370,62144,0,6075,,,,2342,20451,1706,57,226,1497,484,218,1275,8773,1079,0.22,6300550,1
2020100000,2020年度,01460,北海道 上富良野町,10348,4287,9551,22786,0,2352,6789,,,536,8146,,330,91,991,272,523,1260,118,1125,0.30,4164805,1
2020100000,2020年度,01461,北海道 中富良野町,4733,1977,2595,16927,,2376,1438,,,,9652,,480,0,714,749,217,383,,505,0.24,2642310,1
2020100000,2020年度,01462,北海道 南富良野町,2376,1075,1034,8466,1856,931,438,,,147,1691,,22,,244,104,,1671,566,675,0.13,2963273,0
2020100000,2020年度,01463,北海道 占冠村,1306,849,,,0,379,134,,,181,624,,,,3885,33,,65,,211,0.27,1519700,0
2020100000,2020年度,01464,北海道 和寒町,3192,1429,950,10590,,2721,1292,,,95,4380,,0,9,210,127,,694,77,475,0.16,2808985,1
2020100000,2020年度,01465,北海道 剣淵町,2926,1227,383,8153,0,1025,502,,,288,4695,,33,,210,62,1,931,73,119,0.16,2515781,0
2020100000,2020年度,01468,北海道 下川町,3126,1473,1786,12822,0,3514,2219,575,43,358,4975,123,18,23,295,112,18,98,118,335,0.16,3201875,1
2020100000,2020年度,01469,北海道 美深町,4145,1912,2689,15764,0,3482,1251,,,190,7318,282,11,12,439,98,,1583,100,923,0.17,3586233,1
2020100000,2020年度,01470,北海道 音威子府村,706,347,,,0,658,315,,,89,645,,0,,95,,,,,24,0.11,1548610,0
2020100000,2020年度,01471,北海道 中川町,1528,822,357,5231,0,1158,771,,,,2058,109,23,73,246,21,,473,64,142,0.12,2348438,0
2020100000,2020年度,01472,北海道 幌加内町,1370,667,267,5720,0,2150,1046,,,,1724,,,,254,,,175,50,209,0.11,2540439,0
2020100000,2020年度,01481,北海道 増毛町,3908,1878,945,19025,,1552,10355,,,421,4715,,7,,398,182,,465,225,366,0.16,2899645,0
2020100000,2020年度,01482,北海道 小平町,2994,1366,1910,7498,,2707,476,,,701,1622,,,0,206,15,4,732,509,222,0.15,2689060,0
2020100000,2020年度,01483,北海道 苫前町,2936,1347,1954,8840,0,3063,1799,,,224,1499,,3,79,120,30,,765,163,744,0.16,2788729,0
2020100000,2020年度,01484,北海道 羽幌町,6548,3143,2926,29836,0,2829,,,45,1332,12823,1250,414,75,641,664,292,1298,1137,928,0.20,3863210,2
2020100000,2020年度,01485,北海道 初山別村,1080,498,1095,3940,0,1414,307,,,120,820,,0,0,116,,,697,122,289,0.11,1547342,0
2020100000,2020年度,01486,北海道 遠別町,2520,1200,1822,9094,0,2195,1351,,,478,3685,102,,19,172,102,,487,,331,0.14,2694135,1
2020100000,2020年度,01487,北海道 天塩町,2950,1425,2565,12006,,3521,656,,,568,4160,225,105,46,351,52,,510,126,464,0.16,3076851,1
2020100000,2020年度,01511,北海道 猿払村,2611,1238,3020,18315,0,2084,9298,,,412,4436,,0,,102,22,,,483,259,0.26,2810026,1
2020100000,2020年度,01512,北海道 浜頓別町,3448,1716,3569,30262,0,5101,9391,,,1291,8285,1108,78,117,281,443,,573,1573,326,0.20,3009975,1
2020100000,2020年度,01513,北海道 中頓別町,1637,756,270,7397,0,1002,754,,,80,3335,,,,103,22,,714,290,810,0.11,2320203,1
2020100000,2020年度,01514,北海道 枝幸町,7565,3515,4266,49912,0,5419,18555,,,2452,16610,438,345,282,703,1199,53,986,1771,923,0.20,6980263,1
2020100000,2020年度,01516,北海道 豊富町,3974,1951,2061,38562,0,5735,9394,,,539,17690,262,550,164,630,424,,872,1426,791,0.19,3444717,0
2020100000,2020年度,01517,北海道 礼文町,2509,1246,,,0,2738,3592,,,332,5645,,28,,1912,257,,296,109,187,0.13,2683074,0
2020100000,2020年度,01518,北海道 利尻町,2004,1037,,,0,1122,1370,,,136,4636,,0,,428,258,,67,156,5,0.11,2387923,1
2020100000,2020年度,01519,北海道 利尻富士町,2458,1199,0,11240,0,3975,1867,,,295,3480,,,29,852,247,,44,195,55,0.12,2626662,0
2020100000,2020年度,01520,北海道 幌延町,2371,1225,321,28419,,1283,14589,2690,,521,2426,,474,2001,270,200,135,876,2080,425,0.24,3008017,0
2020100000,2020年度,01543,北海道 美幌町,18697,8309,5953,101857,0,11968,16778,126,227,5723,48226,4371,892,194,1133,3520,581,5402,625,2091,0.37,6622389,2
2020100000,2020年度,01544,北海道 津別町,4373,2043,5941,38060,0,3152,23446,,,727,6536,148,,503,215,106,173,1495,1069,453,0.21,3414917,1
2020100000,2020年度,01545,北海道 斜里町,11418,5349,6762,105138,,9152,,1363,,3641,27332,2281,2085,619,5097,2499,186,1751,1519,1399,0.37,5578064,1
2020100000,2020年度,01546,北海道 清里町,3883,1591,822,13451,,1365,,,,232,5181,206,124,67,338,170,73,839,2590,477,0.19,3065143,0
2020100000,2020年度,01547,北海道 小清水町,4623,1966,5099,26373,0,2287,3333,,,1157,12672,,73,721,232,432,40,2243,1603,1075,0.22,3685101,1
2020100000,2020年度,01549,北海道 訓子府町,4677,1873,1212,25133,,1692,6062,,,1111,13370,,,223,143,158,,858,,1079,0.24,2863530,0
2020100000,2020年度,01550,北海道 置戸町,2775,1202,1823,12151,0,875,831,,,,6826,,23,,60,98,,2154,237,432,0.14,2889838,1
2020100000,2020年度,01552,北海道 佐呂間町,4875,2266,13446,62722,0,2757,,,,1766,5975,145,108,1241,206,58,,666,4275,805,0.26,3321589,0
2020100000,2020年度,01555,北海道 遠軽町,19241,8813,6337,93526,,14989,8512,2388,,2441,36146,5675,1458,1303,2095,2437,628,9906,1593,3812,0.27,9298066,3
2020100000,2020年度,01559,北海道 湧別町,8270,3692,11491,59376,0,11745,,,,1597,16373,1430,737,811,641,385,46,1951,3535,603,0.26,5167987,1
2020100000,2020年度,01560,北海道 滝上町,2421,1201,2057,7578,0,2125,1147,,,220,2555,,,,144,194,,872,82,80,0.13,2828203,1
2020100000,2020年度,01561,北海道 興部町,3628,1725,4386,36351,0,5453,,,,703,7235,1289,68,272,220,56,134,337,8206,334,0.22,2985549,1
2020100000,2020年度,01562,北海道 西興部村,1053,499,1498,3554,0,712,1269,,,,421,,0,,125,,,787,,23,0.10,1436061,0
2020100000,2020年度,01563,北海道 雄武町,4199,2052,3231,27603,0,3344,,,,457,4203,,792,918,345,657,,444,1129,700,0.20,3713947,1
2020100000,2020年度,01564,北海道 大空町,6775,2750,7454,35836,0,5088,,,,1985,15092,1560,2492,137,399,178,156,2186,1736,2023,0.26,4990823,1
2020100000,2020年度,01571,北海道 豊浦町,3821,1774,3654,11365,0,4665,,,,233,3951,53,51,108,273,65,146,1205,100,275,0.19,2864888,1
2020100000,2020年度,01575,北海道 壮瞥町,2743,1170,702,12633,0,3205,196,,,62,2256,98,249,59,2407,22,10,2846,903,319,0.20,2161218,2
2020100000,2020年度,01578,北海道 白老町,16212,7688,11582,108668,,5758,57579,,50,4054,25401,1273,869,1385,1414,1492,390,5517,532,1834,0.39,6372159,1
2020100000,2020年度,01581,北海道 厚真町,4432,1930,3741,162981,1029,12256,,115213,14,7933,7510,1411,763,428,249,95,,1299,301,548,0.48,5196927,0
2020100000,2020年度,01584,北海道 洞爺湖町,8442,4030,2946,50393,,4618,8125,,,1462,17978,395,241,767,8438,107,58,6722,1085,390,0.29,4363891,2
2020100000,2020年度,01585,北海道 安平町,7340,3451,28265,48032,0,5644,,,,1259,8387,471,620,579,510,779,432,1945,520,1275,0.46,4439424,1
2020100000,2020年度,01586,北海道 むかわ町,7651,3647,6711,37374,638,11483,3880,,,942,12307,217,729,2379,485,703,,1962,664,828,0.23,5973325,1
2020100000,2020年度,01601,北海道 日高町,11279,5552,16223,62754,,10698,11973,2512,,2945,20239,321,786,524,962,6723,429,1998,904,1249,0.27,6706202,1
2020100000,2020年度,01602,北海道 平取町,4776,2288,2758,18384,342,5317,660,,,310,5782,128,34,28,594,364,8,1206,2631,981,0.19,3635506,1
